N_gen,N_samplings,data_p,lambd,lambd_surr,beta_0,beta_perp,surr_score,log_loss_test,mis_error_test,log_loss_val,mis_error_val,alpha_0,alpha_s,alpha_perp,grad_norm,split_pct,acc_train,theta_surr_norm,alpha_exp,effectiveN,label_method,label_method_a,label_method_b
0,9,3000,0.001,,5.0,0.0,,1.0425435722196814,0.26686666666666664,1.0451330719771779,0.2648,4.945158663502431,0,4.75034233903709,0.003041210322461575,80,1.0,6.857138364161942,-1.0,5478,misspec,0.95,0.05
0,0,3000,0.001,,5.0,0.0,,1.1535467575663285,0.2651,1.1621400894623266,0.2648,5.728802304056352,0,5.421957991393084,0.0017581719530110258,90,1.0,7.887762946450197,-1.0,6174,misspec,0.95,0.05
0,1,3000,0.001,,5.0,0.0,,1.1782262860118133,0.2675666666666667,1.1962010696875933,0.269,5.780652230995037,0,5.495912447948407,0.0018906489907280955,90,1.0,7.976276941733039,-1.0,6209,misspec,0.95,0.05
0,2,3000,0.001,,5.0,0.0,,1.1362127152357,0.2658,1.159035836036233,0.2626,5.695087500217134,0,5.319015253815939,0.004040212809003558,90,1.0,7.79268534623695,-1.0,6166,misspec,0.95,0.05
0,3,3000,0.001,,5.0,0.0,,1.146209738325469,0.26343333333333335,1.1742288815498068,0.26736666666666664,5.739136401864049,0,5.390014597715646,0.0051262264274797055,90,1.0,7.8733692916558145,-1.0,6186,misspec,0.95,0.05
0,4,3000,0.001,,5.0,0.0,,1.178481355762635,0.2670666666666667,1.183189799722787,0.2685,5.752796174249604,0,5.487870360387648,0.003327672553925205,90,1.0,7.950558780040692,-1.0,6185,misspec,0.95,0.05
0,5,3000,0.001,,5.0,0.0,,1.1559600415495115,0.2651,1.18476474986016,0.2652333333333333,5.709256466927412,0,5.427418575086591,0.003376645826009619,90,1.0,7.877339766339106,-1.0,6159,misspec,0.95,0.05
0,6,3000,0.001,,5.0,0.0,,1.1641540806306998,0.26803333333333335,1.1728709266071458,0.26776666666666665,5.708892887186009,0,5.420862383954134,0.0016456542021721036,90,1.0,7.872560382946065,-1.0,6163,misspec,0.95,0.05
0,7,3000,0.001,,5.0,0.0,,1.1756121307575436,0.2685,1.1869977665458233,0.26503333333333334,5.755962352063743,0,5.4608867834424215,0.0024531836447454114,90,1.0,7.934254032985791,-1.0,6202,misspec,0.95,0.05
0,8,3000,0.001,,5.0,0.0,,1.1767871768790492,0.2672,1.1981086557797447,0.26563333333333333,5.773840273432664,0,5.4929999345140175,0.0018134016438602462,90,1.0,7.969333710146914,-1.0,6252,misspec,0.95,0.05
